ID,Nodes,Edges,Density,Diameter,Most_Common_Node
1,175,7647,0.5022660098522167,3,2446
2,175,7647,0.5022660098522167,3,2446
3,175,7647,0.5022660098522167,3,2446
4,175,7641,0.501871921182266,3,2446
5,175,7631,0.5012151067323481,3,2446
6,175,7631,0.5012151067323481,3,2446
7,175,7633,0.5013464696223316,3,2446
8,175,7632,0.5012807881773399,3,2446
9,175,7633,0.5013464696223316,3,2446
10,175,7640,0.5018062397372742,3,2446
11,175,7632,0.5012807881773399,3,2446
12,175,7628,0.5010180623973728,3,2446
13,175,7643,0.5020032840722496,3,2446
14,175,7639,0.5017405582922825,3,2446
15,175,7640,0.5018062397372742,3,2446
16,175,7642,0.5019376026272578,3,2446
17,175,7637,0.5016091954022989,3,2446
18,175,7641,0.501871921182266,3,2446
19,175,7641,0.501871921182266,3,2446
20,175,7640,0.5018062397372742,3,2446
21,175,7646,0.502200328407225,3,2446
22,175,7644,0.5020689655172413,3,2446
23,175,7641,0.501871921182266,3,2446
24,175,7641,0.501871921182266,3,2446
25,175,7639,0.5017405582922825,3,2446
26,175,7644,0.5020689655172413,3,2446
27,175,7636,0.501543513957307,3,2446
28,175,7644,0.5020689655172413,3,2446
29,175,7644,0.5020689655172413,3,2446
30,175,7640,0.5018062397372742,3,2446
31,175,7639,0.5017405582922825,3,2446
32,175,7645,0.5021346469622332,3,2446
33,175,7637,0.5016091954022989,3,2446
34,175,7642,0.5019376026272578,3,2446
35,175,7643,0.5020032840722496,3,2446
36,175,7645,0.5021346469622332,3,2446
37,175,7643,0.5020032840722496,3,2446
38,175,7640,0.5018062397372742,3,2446
39,175,7638,0.5016748768472906,3,2446
40,175,7641,0.501871921182266,3,2446
41,175,7646,0.502200328407225,3,2446
42,175,7644,0.5020689655172413,3,2446
43,175,7646,0.502200328407225,3,2446
44,175,7642,0.5019376026272578,3,2446
45,175,7643,0.5020032840722496,3,2446
46,175,7636,0.501543513957307,3,2446
47,175,7641,0.501871921182266,3,2446
48,175,7640,0.5018062397372742,3,2446
49,175,7642,0.5019376026272578,3,2446
50,175,7645,0.5021346469622332,3,2446
51,175,7644,0.5020689655172413,3,2446
52,175,7633,0.5013464696223316,3,2446
53,175,7644,0.5020689655172413,3,2446
54,175,7633,0.5013464696223316,3,2446
55,175,7642,0.5019376026272578,3,2446
56,175,7640,0.5018062397372742,3,2446
57,175,7644,0.5020689655172413,3,2446
58,175,7640,0.5018062397372742,3,2446
59,175,7640,0.5018062397372742,3,2446
60,175,7642,0.5019376026272578,3,2446
61,175,7646,0.502200328407225,3,2446
62,175,7643,0.5020032840722496,3,2446
63,175,7641,0.501871921182266,3,2446
64,175,7642,0.5019376026272578,3,2446
65,175,7646,0.502200328407225,3,2446
66,175,7637,0.5016091954022989,3,2446
67,175,7640,0.5018062397372742,3,2446
68,175,7636,0.501543513957307,3,2446
69,175,7646,0.502200328407225,3,2446
70,175,7641,0.501871921182266,3,2446
71,175,7644,0.5020689655172413,3,2446
72,175,7646,0.502200328407225,3,2446
73,175,7644,0.5020689655172413,3,2446
74,175,7646,0.502200328407225,3,2446
75,175,7643,0.5020032840722496,3,2446
76,175,7645,0.5021346469622332,3,2446
77,175,7642,0.5019376026272578,3,2446
78,175,7637,0.5016091954022989,3,2446
79,175,7644,0.5020689655172413,3,2446
80,175,7644,0.5020689655172413,3,2446
81,175,7640,0.5018062397372742,3,2446
82,175,7644,0.5020689655172413,3,2446
83,175,7642,0.5019376026272578,3,2446
84,175,7642,0.5019376026272578,3,2446
85,175,7640,0.5018062397372742,3,2446
86,175,7642,0.5019376026272578,3,2446
87,175,7641,0.501871921182266,3,2446
88,175,7635,0.5014778325123153,3,2446
89,175,7644,0.5020689655172413,3,2446
90,175,7643,0.5020032840722496,3,2446
91,175,7644,0.5020689655172413,3,2446
92,175,7645,0.5021346469622332,3,2446
93,175,7641,0.501871921182266,3,2446
94,175,7642,0.5019376026272578,3,2446
95,175,7646,0.502200328407225,3,2446
96,175,7643,0.5020032840722496,3,2446
97,175,7642,0.5019376026272578,3,2446
98,175,7639,0.5017405582922825,3,2446
99,175,7643,0.5020032840722496,3,2446
100,175,7638,0.5016748768472906,3,2446
101,175,7645,0.5021346469622332,3,2446
102,175,7635,0.5014778325123153,3,2446
103,175,7640,0.5018062397372742,3,2446
104,175,7638,0.5016748768472906,3,2446
105,175,7641,0.501871921182266,3,2446
106,175,7643,0.5020032840722496,3,2446
107,175,7639,0.5017405582922825,3,2446
108,175,7642,0.5019376026272578,3,2446
109,175,7641,0.501871921182266,3,2446
110,175,7642,0.5019376026272578,3,2446
111,175,7644,0.5020689655172413,3,2446
112,175,7634,0.5014121510673235,3,2446
113,175,7642,0.5019376026272578,3,2446
114,175,7638,0.5016748768472906,3,2446
115,175,7639,0.5017405582922825,3,2446
116,175,7644,0.5020689655172413,3,2446
117,175,7642,0.5019376026272578,3,2446
118,175,7642,0.5019376026272578,3,2446
119,175,7646,0.502200328407225,3,2446
120,175,7646,0.502200328407225,3,2446
121,175,7641,0.501871921182266,3,2446
122,175,7641,0.501871921182266,3,2446
123,175,7641,0.501871921182266,3,2446
124,175,7629,0.5010837438423645,3,2446
125,175,7644,0.5020689655172413,3,2446
126,175,7646,0.502200328407225,3,2446
127,175,7644,0.5020689655172413,3,2446
128,175,7640,0.5018062397372742,3,2446
129,175,7640,0.5018062397372742,3,2446
130,175,7644,0.5020689655172413,3,2446
131,175,7639,0.5017405582922825,3,2446
132,175,7639,0.5017405582922825,3,2446
133,175,7643,0.5020032840722496,3,2446
134,175,7642,0.5019376026272578,3,2446
135,175,7641,0.501871921182266,3,2446
136,175,7641,0.501871921182266,3,2446
137,175,7642,0.5019376026272578,3,2446
138,175,7646,0.502200328407225,3,2446
139,175,7642,0.5019376026272578,3,2446
140,175,7643,0.5020032840722496,3,2446
141,175,7642,0.5019376026272578,3,2446
142,175,7642,0.5019376026272578,3,2446
143,175,7637,0.5016091954022989,3,2446
144,175,7639,0.5017405582922825,3,2446
